country_code,title,job_category,company_name,city,contract_type,workday,salary_min,salary_max,salary_period,salary_currency,salary_type,remote,publish_date
es,Técnico de Ciberseguridad,Informática y telecomunicaciones,Randstad Technologies,Tres Cantos,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,ANALISTA DE INCIDENCIAS SENIOR (REMOTO),Informática y telecomunicaciones,IRIUM SOLUCIONES Y SISTEMAS,Madrid,Contrato indefinido,Jornada completa,40000.0,40000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,QA Tester - Inglés alto -,Informática y telecomunicaciones,BOYCOR,Madrid,Contrato indefinido,Jornada completa,24000.0,30000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Desarrollador/a SharePoint SPFx,Informática y telecomunicaciones,COBSER CONSULTING,España,Contrato indefinido,Jornada completa,30000.0,39000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Programador C,Informática y telecomunicaciones,INVOIN,Alcobendas,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Analista de Seguridad Código Estático,Informática y telecomunicaciones,Soltel,Madrid,Contrato indefinido,Jornada completa,36000.0,40000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
es,Desarrollador PHP Laravel (Remoto),Informática y telecomunicaciones,KITERIS SOLUTIONS SL.,Murcia,Contrato indefinido,Jornada completa,30000.0,39000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Instalador/a Fibra Óptica #963,Informática y telecomunicaciones,Verne Technology Group,Madrid,Contrato de duración determinada,Jornada completa,18000.0,18000.0,YEAR,EUR,GROSS,,2022-08-04
es,DevOps Tester - 100% remoto Toda España,Informática y telecomunicaciones,Second Window,Madrid,Contrato indefinido,Jornada completa,30000.0,40000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Técnic@ Soporte Residente (Tremp),Informática y telecomunicaciones,SALTÓ intelligent technology,Tremp,Contrato indefinido,Jornada completa,15000.0,18000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
es,Management y Desarrollador/a .NET WEB SERVICES + SOAP y REST,Informática y telecomunicaciones,COBSER CONSULTING,Madrid,Contrato indefinido,Jornada completa,30000.0,33000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
in,Analyst-Campaign Management,Management & Consulting,Accenture,Mumbai,,,,,YEAR,INR,,,2022-08-30
es,Técnico/a Microinformático Perfil Junior,Informática y telecomunicaciones,Sermicro,Pozuelo de Alarcón,Contrato fijo discontinuo,Jornada completa,,,,,,Presencial,2022-08-04
es,Técnic@ de Soporte  Microinformática,Informática y telecomunicaciones,ACCUDE TI,Palencia,Contrato de duración determinada,Jornada completa,12000.0,15000.0,YEAR,EUR,GROSS,,2022-08-04
es,SE BUSTA TECNICO INFORMATICO DE CAMPO REPARACION IMPRESORAS,Informática y telecomunicaciones,AKRON SOLUCIONES INFORMATICAS Y SERVICIOS SOCIEDAD LIMITADA.,Barcelona,Contrato indefinido,Jornada completa,15000.0,18000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
es,Full Stack Developer (PHP / JS) - Full Remote,Informática y telecomunicaciones,Geekshubs,Murcia,Contrato indefinido,Jornada completa,24000.0,30000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,Beca Programación,Informática y telecomunicaciones,EVOLUTIO,Madrid,Contrato otros contratos,Jornada parcial - mañana,,,,,,Híbrido,2022-08-04
es,Administrador de Sistemas Linux,Informática y telecomunicaciones,PSS,Madrid,Contrato indefinido,Jornada completa,27000.0,30000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Operador /a de sistemas 24/7,Informática y telecomunicaciones,ALTIA,Zaragoza,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-08-04
es,Programador Frontend React,Informática y telecomunicaciones,Quental Technologies,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Consultor BI-Microstrategy. Madrid,Informática y telecomunicaciones,Second Window,Madrid,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Software Engineer .NET - Partial Remote,Informática y telecomunicaciones,Geekshubs,Valencia,Contrato indefinido,Jornada completa,18000.0,45000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Scrum Master (70% REMOTO),Informática y telecomunicaciones,Soltel,Barcelona,Contrato indefinido,Jornada completa,39000.0,41000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
